id,name,type,city,state,gstin,pan,phone,email
client_1,Reliance Steel,client,Chandigarh,Tamil Nadu,17FTRXC7912B1ZB,CGPOS9928N,+91 7946785248,contact@reliancesteel.com
client_2,Bajaj FMCG,client,Jammu,Maharashtra,34USIEY6514D1ZF,JJIGB8527R,+91 7536124280,contact@bajajfmcg.com
client_3,Godrej Retail,client,Kolkata,West Bengal,36QXJEB4733Y1ZS,ZWWJL6977F,+91 8589915144,contact@godrejretail.com
client_4,Jindal Industries,client,Ranchi,Tamil Nadu,32YQPES3677O1ZY,HYRFI1916H,+91 7137869475,contact@jindalindustries.com
client_5,Jindal Power,client,Ahmedabad,Haryana,16XOSFM8517E1ZQ,DTOTL7543L,+91 7941975480,contact@jindalpower.com
client_6,Tata Infra,client,Nashik,Delhi,37CQUKB7252T1Z3,NZWAS9797Y,+91 8146005448,contact@tatainfra.com
client_7,Jindal Retail,client,Surat,Odisha,15LYWGN3927Q1ZG,WHQPD3646R,+91 9277851678,contact@jindalretail.com
client_8,Adani Logistics,client,Chennai,Maharashtra,13YWVHB2290C1Z5,VZNDR3705I,+91 9266341635,contact@adanilogistics.com
client_9,ITC Power,client,Gurugram,Telangana,32IZQLN2982H1ZO,BAOPA1964H,+91 7289482182,contact@itcpower.com
client_10,Adani Logistics,client,Nashik,Karnataka,18RFDYO8744H1Z4,UECLL8651X,+91 7232663462,contact@adanilogistics.com
client_11,Reliance Steel,client,Bhopal,Uttar Pradesh,35WGELK5563O1ZP,WBVWC9856A,+91 7400560567,contact@reliancesteel.com
client_12,Birla Cements,client,Hyderabad,Jammu & Kashmir,25FKBJZ5345Z1Z3,HSSUR8973E,+91 7815605132,contact@birlacements.com
client_13,Mahindra Industries,client,Pune,Delhi,33IBMXN1931Q1ZF,WBBWK5033S,+91 9553440342,contact@mahindraindustries.com
client_14,Adani Retail,client,Hyderabad,Uttar Pradesh,18FSGKR5915O1ZU,YYAQO2638C,+91 9309122187,contact@adaniretail.com
client_15,Birla FMCG,client,Delhi,Bihar,12WJEVS9666A1Z9,HRYDD2753X,+91 9376077463,contact@birlafmcg.com
client_16,Tata FMCG,client,Surat,Telangana,32IRWNG1832C1Z1,VBIDZ3647X,+91 8897669065,contact@tatafmcg.com
client_17,L&T Power,client,Kolkata,Maharashtra,13BWXOV3426N1ZI,BJYZB6862G,+91 9929454134,contact@l&tpower.com
client_18,Birla Retail,client,Indore,Odisha,29TYGEU3900N1ZB,EYUKR5065I,+91 7683749521,contact@birlaretail.com
client_19,Reliance Power,client,Pune,Jammu & Kashmir,17FXJVW4652A1ZM,KHBUJ9346M,+91 9918508077,contact@reliancepower.com
client_20,L&T Logistics,client,Mumbai,Rajasthan,18EZGCL6139N1Z6,DXEBL9518Z,+91 9312633708,contact@l&tlogistics.com
client_21,Birla Logistics,client,Hyderabad,Haryana,31XQRDX9308J1Z0,ISOER7211V,+91 7747441732,contact@birlalogistics.com
client_22,ITC FMCG,client,Bhopal,Maharashtra,19HLPRM8244V1ZN,NUYTR5649Q,+91 9851230518,contact@itcfmcg.com
client_23,ITC Logistics,client,Nashik,Karnataka,31IUDBZ2193O1Z0,XOSJK3417U,+91 9953315788,contact@itclogistics.com
client_24,Adani Retail,client,Ludhiana,Odisha,17EYNBG2988O1ZI,URZPY8251T,+91 9168005699,contact@adaniretail.com
client_25,Godrej Infra,client,Noida,Jammu & Kashmir,24GGQTN4919I1Z2,CHHIO3267E,+91 7993260504,contact@godrejinfra.com
client_26,Godrej Cements,client,Bhubaneswar,Telangana,12KIMBV7381Y1ZB,WTJAJ7389N,+91 9311639723,contact@godrejcements.com
client_27,L&T Industries,client,Chennai,Karnataka,18LAIRK3704O1ZI,ZNXPR2375U,+91 8840877826,contact@l&tindustries.com
client_28,Tata Infra,client,Noida,Delhi,18JFITJ7906I1ZF,MTBYF2124Y,+91 9799264931,contact@tatainfra.com
client_29,Adani Steel,client,Jaipur,Telangana,36ADDRO4571O1ZQ,TEPTC3683J,+91 7464280597,contact@adanisteel.com
client_30,ITC Steel,client,Surat,Jharkhand,22YFPVG5941V1ZH,UOBNR2129Q,+91 9781177100,contact@itcsteel.com
client_31,Jindal Steel,client,Hyderabad,Jammu & Kashmir,13LJXLD3885X1Z7,ZHVNM8136X,+91 9544659112,contact@jindalsteel.com
client_32,Mahindra Logistics,client,Jaipur,Haryana,18WGMPJ1470P1ZU,EFUIW5526R,+91 7043598698,contact@mahindralogistics.com
client_33,L&T Industries,client,Nashik,Karnataka,33KOGMS8342Z1ZB,CFRHP8753R,+91 9280292341,contact@l&tindustries.com
client_34,Jindal Power,client,Chandigarh,Uttar Pradesh,21SHGDF2958X1Z8,YRETH9595T,+91 8215470157,contact@jindalpower.com
client_35,Reliance Industries,client,Surat,Karnataka,21EANHZ5786W1ZI,QTCAH8843O,+91 8463320861,contact@relianceindustries.com
client_36,Tata Steel,client,Ahmedabad,Jammu & Kashmir,13VKBQB3444Z1ZT,CGOKP4697Y,+91 9244431947,contact@tatasteel.com
client_37,Godrej Infra,client,Bengaluru,West Bengal,37PLOBY2625Y1ZN,QGCGO3564A,+91 8754569613,contact@godrejinfra.com
client_38,Bajaj Infra,client,Surat,Delhi,17HHWBG5334Z1ZM,LOQXV2169B,+91 7712632936,contact@bajajinfra.com
client_39,Mahindra FMCG,client,Bengaluru,Rajasthan,24RSYNM2317T1ZC,XTPAF1339Y,+91 9887427412,contact@mahindrafmcg.com
client_40,Mahindra Steel,client,Ludhiana,Madhya Pradesh,25NLHZL9056C1Z4,JIRWI9117J,+91 9845774616,contact@mahindrasteel.com
client_41,Godrej Steel,client,Bengaluru,Haryana,20GDUWV1018V1Z8,MBNQM8242Y,+91 7221670908,contact@godrejsteel.com
client_42,Birla FMCG,client,Kolkata,Gujarat,19LSDZP4920W1ZK,IAKFV2858O,+91 7504513251,contact@birlafmcg.com
client_43,Tata Infra,client,Bhubaneswar,West Bengal,26SKMML3369M1ZM,XNWWH7798K,+91 9180716723,contact@tatainfra.com
client_44,Mahindra Steel,client,Surat,West Bengal,36PZMDO6654K1Z9,TJYWZ4912S,+91 8644847276,contact@mahindrasteel.com
client_45,Birla Power,client,Pune,Uttar Pradesh,33MXJZU3492P1ZC,DZICV2633Q,+91 8962491159,contact@birlapower.com
client_46,Adani Cements,client,Hyderabad,Gujarat,12MZISQ6383V1Z8,JISTW1588T,+91 7293864877,contact@adanicements.com
client_47,Birla FMCG,client,Jaipur,Haryana,23ZTSCE5906A1ZC,IBJLG7751S,+91 9928310291,contact@birlafmcg.com
client_48,Tata Cements,client,Noida,Haryana,29WQGXD8555U1ZQ,LRXMH9955F,+91 7317234448,contact@tatacements.com
client_49,Bajaj Logistics,client,Lucknow,West Bengal,30ZRLHZ8916D1ZP,JJHSA7484I,+91 7034780500,contact@bajajlogistics.com
client_50,ITC Steel,client,Kanpur,Jammu & Kashmir,36XHUPJ4115T1ZQ,RSRVQ1645J,+91 8893321208,contact@itcsteel.com
client_51,Adani Logistics,client,Chandigarh,Gujarat,12XIKFU6994Q1Z6,XVGVM5835X,+91 8454770940,contact@adanilogistics.com
client_52,Reliance Infra,client,Nashik,Gujarat,34ZWSZZ6992C1ZZ,ANLRR7242U,+91 8595467139,contact@relianceinfra.com
client_53,Reliance Industries,client,Chennai,Maharashtra,29WOXFB8606W1ZT,QDBAZ2902D,+91 8008458444,contact@relianceindustries.com
client_54,L&T Cements,client,Bhopal,Punjab,21RTYKT3531N1ZG,VQYHR4559O,+91 8909954149,contact@l&tcements.com
client_55,Birla Logistics,client,Nagpur,Bihar,27XQBHZ8450C1ZN,QPAUG3063Z,+91 9424843951,contact@birlalogistics.com
client_56,Birla Retail,client,Ludhiana,Telangana,28FWIDX1046I1ZJ,ZOUCW3159A,+91 8538638860,contact@birlaretail.com
client_57,Birla Logistics,client,Mumbai,Madhya Pradesh,18BTNTM6931Q1ZG,LFPSX9543J,+91 8967277638,contact@birlalogistics.com
